Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Seattle,0.447,0.443,0.54,0.388,0.5,0.414
2,Kansas City,0.445,0.423,0.361,0.367,0.545,0.439
3,Buffalo,0.418,0.399,0.333,0.555,0.358,0.449
4,Philadelphia,0.417,0.417,0.506,0.446,0.383,0.404
5,Miami,0.415,0.542,0.417,0.382,0.455,0.311
6,Dallas,0.403,0.44,0.406,0.408,0.398,0.447
7,Baltimore,0.401,0.337,0.397,0.367,0.43,0.327
8,Detroit,0.397,0.46,0.373,0.489,0.289,0.308
9,Cincinnati,0.395,0.488,0.303,0.42,0.377,0.425
10,Atlanta,0.392,0.327,0.236,0.436,0.344,0.311
11,Las Vegas,0.388,0.404,0.519,0.445,0.354,0.341
12,San Francisco,0.369,0.376,0.194,0.332,0.405,0.396
13,Minnesota,0.369,0.347,0.5,0.385,0.35,0.392
14,Cleveland,0.354,0.307,0.307,0.381,0.32,0.331
15,New England,0.35,0.279,0.196,0.339,0.359,0.43
16,Jacksonville,0.348,0.379,0.459,0.305,0.386,0.246
17,Chicago,0.346,0.356,0.179,0.352,0.341,0.289
18,New Orleans,0.343,0.24,0.0,0.367,0.317,0.346
19,LA Chargers,0.342,0.368,0.391,0.303,0.375,0.42
20,Carolina,0.34,0.279,0.354,0.361,0.308,0.275
21,NY Jets,0.338,0.314,0.5,0.329,0.349,0.299
22,Tennessee,0.334,0.333,0.286,0.333,0.335,0.367
23,Arizona,0.321,0.305,0.375,0.344,0.299,0.39
24,Green Bay,0.319,0.479,0.673,0.344,0.299,0.409
25,NY Giants,0.317,0.313,0.339,0.303,0.335,0.246
26,Washington,0.291,0.356,0.317,0.284,0.299,0.313
27,Houston,0.273,0.238,0.259,0.286,0.262,0.277
28,Tampa Bay,0.272,0.247,0.258,0.305,0.244,0.444
29,Pittsburgh,0.269,0.346,0.358,0.319,0.228,0.309
30,LA Rams,0.268,0.266,0.182,0.285,0.247,0.427
31,Indianapolis,0.244,0.317,0.274,0.313,0.178,0.429
32,Denver,0.224,0.188,0.175,0.178,0.268,0.323
