Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Buffalo,0.4,0.5,0.8,0.4,0.5,0.6
2,Kansas City,0.5,0.3,0.2,0.8,0.3,0.5
3,Las Vegas,0.7,0.7,0.3,0.7,0.7,0.8
4,Baltimore,0.7,0.9,0.2,0.7,0.7,0.9
5,Seattle,0.7,0.9,0.7,0.8,0.6,1.3
6,Cleveland,0.7,0.9,1.5,0.8,0.7,1.1
7,Miami,0.7,0.4,1.0,1.0,0.4,1.3
8,Detroit,0.8,0.8,0.5,0.6,1.1,1.1
9,Cincinnati,0.8,0.6,1.3,0.6,0.9,0.8
9,Philadelphia,0.8,0.6,0.1,0.7,1.0,0.7
11,Dallas,0.8,0.5,0.3,0.9,0.8,0.7
12,Jacksonville,0.9,0.9,0.6,0.8,0.9,1.5
13,San Francisco,0.9,0.9,1.3,0.7,1.0,0.8
14,Atlanta,0.9,1.0,1.0,0.8,1.1,1.1
15,Chicago,1.0,1.1,2.5,1.1,0.9,1.1
16,LA Chargers,1.0,1.1,1.5,1.1,0.9,0.6
17,Arizona,1.0,1.1,0.8,1.1,1.0,0.7
18,New England,1.1,1.6,3.0,1.2,1.0,0.6
19,NY Giants,1.1,1.3,1.0,1.1,1.0,1.4
20,Minnesota,1.1,1.0,0.5,1.0,1.2,1.0
21,Green Bay,1.1,0.7,0.3,1.1,1.1,0.7
22,New Orleans,1.1,2.0,--,0.9,1.4,1.2
23,NY Jets,1.3,1.5,0.4,0.9,1.7,1.2
24,Indianapolis,1.3,0.8,1.0,0.8,2.1,0.7
25,Tampa Bay,1.3,1.7,3.0,1.1,1.5,0.7
26,Pittsburgh,1.3,0.9,0.8,1.0,1.6,1.2
27,Carolina,1.3,1.3,1.0,1.2,1.6,1.3
28,Washington,1.4,0.6,0.8,1.5,1.3,1.0
29,LA Rams,1.5,1.7,2.0,1.4,1.6,0.6
30,Tennessee,1.6,1.5,1.3,1.3,1.9,0.8
31,Houston,1.6,2.0,2.3,1.9,1.4,1.7
32,Denver,1.9,2.5,3.5,2.0,1.8,1.1
