Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Dallas,1.3,0.7,0.0,1.5,1.0,2.1
2,Detroit,1.5,1.3,2.0,1.3,1.8,2.1
2,Tampa Bay,1.5,1.3,3.0,1.6,1.5,1.6
2,Kansas City,1.5,0.3,0.0,1.8,1.2,1.9
5,San Francisco,1.7,0.7,1.0,1.6,1.8,1.9
6,Jacksonville,1.9,3.0,4.0,0.8,2.8,1.9
7,LA Chargers,2.0,4.0,4.0,2.2,1.8,1.8
7,Green Bay,2.0,2.0,3.0,2.2,1.9,2.1
9,Buffalo,2.1,2.3,2.0,1.3,2.5,1.5
10,Las Vegas,2.1,1.3,1.0,1.5,2.4,2.4
10,Miami,2.1,2.0,5.0,2.8,1.2,2.4
12,New Orleans,2.2,2.3,1.0,2.7,1.7,2.2
12,Carolina,2.2,1.7,0.0,2.4,1.8,3.1
14,Cleveland,2.2,2.7,4.0,2.2,2.2,2.9
14,Baltimore,2.2,2.3,1.0,1.8,2.5,3.4
16,Atlanta,2.3,2.0,1.0,1.2,3.3,2.4
17,Tennessee,2.3,1.7,1.0,1.2,3.2,2.7
18,NY Jets,2.4,2.3,1.0,2.3,2.4,3.1
19,Seattle,2.5,2.7,3.0,3.0,2.0,2.7
20,Philadelphia,2.5,2.0,2.0,2.5,2.6,1.8
20,Minnesota,2.5,4.0,1.0,2.3,2.8,1.8
22,Arizona,2.6,2.0,1.0,2.3,2.8,2.3
23,Washington,2.7,1.0,0.0,2.8,2.5,2.5
23,New England,2.7,3.3,1.0,2.5,2.8,1.7
25,Pittsburgh,2.9,3.7,3.0,3.2,2.7,2.2
26,Houston,3.0,4.7,5.0,3.6,2.5,2.6
26,NY Giants,3.0,2.7,3.0,3.0,3.0,2.2
28,Cincinnati,3.2,1.7,1.0,3.3,3.1,3.5
29,Denver,3.3,4.0,3.0,3.0,3.5,2.4
30,LA Rams,3.5,3.3,3.0,3.2,3.8,1.8
31,Chicago,3.5,3.0,2.0,3.4,3.6,3.4
32,Indianapolis,3.6,2.7,3.0,2.8,4.3,1.9
