Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Philadelphia,72.50%,80.00%,80.00%,76.19%,68.42%,62.90%
2,Detroit,71.43%,71.43%,75.00%,80.00%,58.82%,46.67%
2,Cincinnati,71.43%,83.33%,33.33%,70.59%,72.22%,54.55%
4,Dallas,69.70%,81.82%,100.00%,82.35%,56.25%,63.64%
5,Tennessee,66.67%,45.45%,0.00%,46.15%,82.35%,62.50%
6,Kansas City,65.31%,46.67%,16.67%,54.17%,76.00%,62.20%
7,Miami,64.10%,56.25%,40.00%,55.00%,73.68%,61.22%
8,Arizona,61.76%,75.00%,100.00%,71.43%,55.00%,60.61%
9,Atlanta,61.11%,57.14%,50.00%,57.14%,66.67%,53.70%
10,Cleveland,60.00%,55.56%,66.67%,73.91%,41.18%,62.00%
11,NY Giants,59.38%,87.50%,66.67%,66.67%,52.94%,44.74%
12,Minnesota,58.54%,40.00%,60.00%,76.19%,40.00%,62.26%
13,Chicago,57.89%,66.67%,33.33%,60.00%,56.52%,47.92%
14,New Orleans,56.76%,42.86%,0.00%,47.37%,66.67%,58.93%
15,Buffalo,56.52%,66.67%,100.00%,47.37%,62.96%,66.28%
16,San Francisco,55.56%,50.00%,33.33%,36.84%,76.47%,64.41%
17,NY Jets,54.84%,37.50%,50.00%,55.00%,54.55%,54.90%
18,LA Chargers,53.85%,57.14%,66.67%,56.25%,52.17%,64.00%
19,Jacksonville,53.66%,63.64%,50.00%,50.00%,56.52%,51.28%
20,Washington,53.13%,50.00%,66.67%,50.00%,55.56%,52.00%
21,Green Bay,52.78%,60.00%,50.00%,62.50%,45.00%,57.53%
22,Carolina,51.72%,42.86%,50.00%,53.33%,50.00%,53.19%
22,LA Rams,51.72%,66.67%,100.00%,66.67%,27.27%,59.09%
24,Baltimore,51.16%,38.46%,40.00%,44.44%,56.00%,60.71%
25,Pittsburgh,50.00%,53.85%,66.67%,58.82%,41.18%,54.72%
25,Las Vegas,50.00%,50.00%,50.00%,60.00%,41.18%,49.23%
25,Tampa Bay,50.00%,62.50%,100.00%,55.56%,42.86%,65.79%
25,Seattle,50.00%,72.73%,60.00%,40.00%,62.50%,64.58%
29,Indianapolis,45.45%,50.00%,66.67%,57.89%,28.57%,56.25%
30,Houston,44.83%,30.00%,50.00%,58.33%,35.29%,51.35%
31,New England,37.50%,0.00%,0.00%,33.33%,41.18%,63.08%
31,Denver,37.50%,50.00%,50.00%,27.27%,46.15%,54.72%
