Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Dallas,4.1,4.0,3.0,3.7,4.6,2.3
2,Tampa Bay,3.3,3.7,4.0,3.2,3.3,2.7
2,Philadelphia,3.3,3.3,3.0,3.0,3.6,1.8
4,New England,3.3,2.3,2.0,4.2,2.3,2.0
5,Kansas City,3.2,4.3,3.0,2.7,3.8,1.8
5,Baltimore,3.2,4.0,4.0,2.8,3.5,2.0
7,NY Jets,3.1,4.3,2.0,3.2,3.0,1.9
8,San Francisco,3.0,2.3,1.0,2.8,3.2,3.0
9,Tennessee,2.8,2.7,1.0,3.2,2.5,2.9
10,New Orleans,2.8,3.7,1.0,3.0,2.5,2.7
11,Minnesota,2.6,1.7,3.0,2.2,3.2,3.0
12,Buffalo,2.6,1.3,1.0,2.8,2.5,2.5
12,Indianapolis,2.6,2.7,3.0,2.7,2.5,1.9
14,Seattle,2.5,2.0,1.0,3.4,1.8,2.0
15,Washington,2.5,2.3,1.0,2.2,2.8,2.2
16,Houston,2.5,2.7,5.0,2.0,2.8,1.9
17,Denver,2.4,0.7,0.0,3.4,1.5,2.1
18,Miami,2.3,3.3,5.0,3.2,1.2,2.8
18,Cleveland,2.3,2.0,3.0,2.3,2.2,2.5
20,Carolina,2.1,3.7,3.0,2.0,2.2,2.3
21,Pittsburgh,2.0,2.3,3.0,1.4,2.5,3.2
21,LA Chargers,2.0,1.0,1.0,2.6,1.5,2.1
21,LA Rams,2.0,2.0,0.0,2.5,1.4,3.0
21,Green Bay,2.0,2.3,2.0,2.8,1.4,2.4
25,Arizona,1.9,2.3,4.0,1.5,2.3,2.3
26,Detroit,1.8,2.7,3.0,2.0,1.6,1.8
26,NY Giants,1.8,1.3,0.0,2.3,1.2,2.0
28,Jacksonville,1.5,1.0,1.0,2.0,1.2,1.9
28,Cincinnati,1.5,1.0,1.0,1.3,1.7,2.5
30,Las Vegas,1.5,2.3,3.0,1.5,1.4,2.1
31,Atlanta,1.4,1.7,0.0,1.7,1.2,1.1
32,Chicago,1.3,1.0,1.0,1.6,1.1,2.9
