Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Seattle,45.1,46.7,44.0,44.2,45.8,44.6
2,Minnesota,44.4,46.3,37.0,44.2,44.6,41.8
3,Detroit,43.6,44.7,45.0,44.0,43.2,39.0
4,Houston,43.5,44.0,44.0,44.0,43.0,40.5
5,Indianapolis,41.8,41.3,46.0,39.7,43.8,40.8
6,Dallas,41.7,38.7,37.0,41.8,41.6,37.7
7,Carolina,40.5,38.7,35.0,37.0,45.4,36.6
8,Tennessee,40.2,38.7,38.0,41.6,39.0,38.2
9,LA Chargers,40.1,41.7,45.0,41.8,38.7,40.2
10,Arizona,39.7,39.0,44.0,42.2,37.2,38.3
10,Buffalo,39.7,39.3,33.0,43.8,37.6,38.1
12,Las Vegas,39.4,37.7,37.0,35.0,41.9,38.4
12,NY Jets,39.4,37.7,32.0,37.5,41.6,41.7
14,Green Bay,39.1,45.0,47.0,39.4,38.9,37.9
15,New Orleans,39.0,44.3,44.0,35.0,43.0,37.7
16,Jacksonville,38.9,38.7,41.0,37.0,40.5,39.1
16,Tampa Bay,38.9,38.0,49.0,41.8,36.5,40.3
18,Atlanta,38.8,37.3,28.0,38.7,38.8,39.6
19,Baltimore,38.7,36.3,40.0,36.8,40.3,36.2
20,Chicago,38.7,39.0,36.0,38.6,38.7,37.2
21,Miami,38.5,39.3,37.0,40.2,36.6,37.8
21,Philadelphia,38.5,39.7,26.0,35.2,42.6,36.8
23,Kansas City,38.2,39.3,31.0,35.0,42.0,37.8
24,Denver,38.1,37.0,45.0,32.8,42.5,35.6
25,San Francisco,37.8,38.7,34.0,36.2,39.2,37.9
26,Cleveland,37.5,41.0,38.0,36.8,38.4,37.8
27,NY Giants,37.5,40.3,45.0,36.0,39.2,39.1
28,Pittsburgh,37.4,31.7,35.0,34.8,39.5,42.1
29,New England,37.0,39.3,44.0,37.2,36.8,38.2
30,LA Rams,36.9,37.3,35.0,35.2,39.0,39.6
31,Cincinnati,36.8,32.7,36.0,32.5,39.3,38.7
32,Washington,34.7,30.0,34.0,35.5,33.8,37.3
