Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,LA Chargers,6.5,6.7,6.0,7.0,6.0,5.9
2,Philadelphia,6.2,6.0,8.0,6.2,6.2,5.9
3,Buffalo,6.2,6.3,9.0,4.8,6.9,6.1
4,Chicago,6.0,6.3,4.0,6.4,5.7,4.4
4,Kansas City,6.0,5.7,5.0,5.8,6.2,6.5
6,Cincinnati,5.8,4.7,5.0,7.3,5.0,5.0
6,Baltimore,5.8,7.7,8.0,5.4,6.2,4.8
8,San Francisco,5.7,6.7,5.0,6.6,5.0,4.7
9,Dallas,5.5,8.0,7.0,5.0,6.2,5.8
10,Pittsburgh,5.5,8.0,7.0,7.6,3.7,5.6
10,Tampa Bay,5.5,7.7,4.0,6.0,5.0,5.9
12,Cleveland,5.4,4.7,5.0,5.8,4.8,4.9
13,Minnesota,5.3,5.3,8.0,5.5,5.0,4.9
14,Arizona,5.3,6.7,7.0,5.5,5.0,5.6
15,Jacksonville,5.2,5.7,4.0,6.2,4.3,4.5
15,NY Giants,5.2,5.0,3.0,5.7,4.6,4.9
15,LA Rams,5.2,4.3,5.0,5.8,4.4,5.6
18,Washington,5.0,6.7,5.0,4.8,5.2,5.1
18,New Orleans,5.0,3.7,4.0,5.7,4.3,4.6
20,Detroit,4.9,5.7,6.0,5.5,4.2,4.4
21,Indianapolis,4.8,4.7,3.0,6.0,3.7,5.1
22,Miami,4.8,5.0,4.0,4.5,5.2,5.6
22,Seattle,4.8,4.7,3.0,5.0,4.7,4.2
24,Las Vegas,4.7,5.3,8.0,5.5,4.3,4.7
24,NY Jets,4.7,5.0,7.0,5.2,4.2,4.5
26,Green Bay,4.7,4.7,1.0,5.6,4.0,5.2
27,Tennessee,4.6,6.7,7.0,5.2,4.2,5.8
28,New England,4.6,3.3,3.0,3.8,5.3,5.4
29,Atlanta,4.5,3.0,4.0,5.0,4.0,4.8
30,Denver,4.0,3.7,4.0,3.8,4.2,4.8
31,Houston,3.5,2.3,2.0,3.0,4.0,5.6
32,Carolina,3.3,3.7,2.0,3.6,2.8,4.9
