Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Washington,54.61%,60.27%,55.25%,53.95%,55.26%,51.22%
2,Baltimore,53.90%,57.59%,54.42%,53.56%,54.18%,53.67%
3,Cleveland,53.48%,51.55%,57.75%,54.09%,52.74%,51.34%
4,Cincinnati,53.35%,57.06%,52.94%,58.95%,50.14%,51.17%
5,San Francisco,52.16%,56.09%,58.06%,56.44%,48.60%,50.49%
6,NY Giants,51.91%,48.55%,43.08%,52.20%,51.56%,47.35%
7,Philadelphia,51.87%,46.96%,59.28%,53.18%,50.30%,49.60%
8,Pittsburgh,51.24%,56.50%,57.28%,51.24%,51.24%,48.90%
9,Kansas City,50.92%,49.15%,54.06%,50.65%,51.24%,51.42%
10,Arizona,50.86%,51.92%,50.97%,47.67%,54.06%,51.44%
11,Chicago,50.72%,51.27%,46.53%,51.36%,50.27%,50.55%
12,Jacksonville,50.70%,50.79%,45.58%,50.69%,50.71%,45.60%
13,Buffalo,50.50%,54.56%,63.56%,47.04%,52.22%,52.35%
14,Green Bay,50.38%,47.07%,40.72%,52.35%,48.97%,54.38%
15,Miami,50.24%,50.51%,54.08%,49.93%,50.61%,50.50%
16,LA Rams,50.09%,46.91%,45.94%,51.33%,48.61%,49.95%
17,New England,49.90%,45.05%,36.44%,47.81%,51.99%,50.68%
18,Las Vegas,49.82%,52.93%,55.39%,51.96%,48.60%,49.31%
19,Tennessee,49.25%,48.19%,47.06%,48.73%,49.69%,53.86%
20,Denver,49.23%,47.69%,38.25%,52.64%,46.38%,51.34%
21,Indianapolis,49.06%,47.38%,42.72%,50.53%,47.59%,53.17%
22,LA Chargers,48.93%,47.08%,49.03%,49.03%,48.85%,48.92%
23,Minnesota,48.61%,48.68%,60.47%,50.66%,46.15%,48.53%
24,Dallas,48.42%,54.88%,56.92%,46.46%,50.78%,50.20%
25,Detroit,48.36%,50.65%,47.61%,45.22%,52.14%,48.08%
26,NY Jets,48.33%,49.62%,53.47%,50.09%,46.22%,45.87%
27,New Orleans,48.26%,42.97%,41.94%,52.31%,44.21%,51.04%
28,Atlanta,48.10%,43.05%,44.75%,49.55%,46.66%,46.94%
29,Tampa Bay,47.81%,51.96%,42.25%,43.42%,51.47%,50.33%
30,Seattle,46.87%,46.87%,44.61%,46.86%,46.87%,42.15%
31,Houston,46.82%,44.05%,45.92%,45.87%,47.60%,47.06%
32,Carolina,45.50%,54.45%,61.75%,48.45%,41.36%,51.22%
