Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Kansas City,3.5,3.0,2.0,2.8,4.4,3.6
1,Philadelphia,3.5,3.3,5.0,3.8,3.2,2.9
3,Detroit,3.1,3.7,3.0,3.8,2.2,2.1
3,Miami,3.1,4.3,3.0,2.7,3.6,2.3
3,Cincinnati,3.1,4.0,2.0,4.0,2.6,2.9
6,Buffalo,3.1,2.7,3.0,4.0,2.6,3.6
7,Seattle,3.0,3.3,4.0,2.4,3.5,2.9
8,Dallas,2.9,4.0,4.0,3.0,2.8,3.7
9,Cleveland,2.8,2.7,3.0,3.3,2.2,2.5
9,Minnesota,2.8,2.7,4.0,3.2,2.4,2.8
11,Las Vegas,2.6,3.3,5.0,3.3,2.3,2.1
11,San Francisco,2.6,2.7,1.0,2.2,3.0,2.8
11,Baltimore,2.6,2.0,2.0,2.2,3.0,2.4
14,Arizona,2.6,2.3,3.0,2.7,2.5,2.9
15,Jacksonville,2.5,2.7,3.0,2.2,2.8,1.6
16,Atlanta,2.5,2.0,1.0,2.8,2.2,1.9
17,LA Chargers,2.5,2.3,3.0,2.2,2.7,3.4
18,New Orleans,2.3,1.3,0.0,2.5,2.2,2.5
18,Chicago,2.3,2.7,1.0,2.8,2.0,1.9
18,Green Bay,2.3,3.3,4.0,2.6,2.1,3.1
21,NY Jets,2.3,2.0,4.0,2.3,2.2,2.1
22,Tennessee,2.2,2.3,1.0,1.8,2.5,2.8
22,NY Giants,2.2,2.7,2.0,2.2,2.2,1.4
24,Washington,2.2,2.3,2.0,2.2,2.2,2.2
25,New England,2.1,1.3,1.0,1.8,2.3,2.9
26,Carolina,2.0,1.3,2.0,2.1,1.8,1.9
27,Tampa Bay,1.7,2.0,2.0,2.0,1.5,3.7
27,LA Rams,1.7,1.7,1.0,2.2,1.2,3.0
29,Pittsburgh,1.6,2.3,2.0,2.0,1.3,2.1
30,Houston,1.5,1.3,2.0,1.8,1.3,1.8
31,Indianapolis,1.5,2.0,2.0,2.0,1.0,3.1
32,Denver,1.3,1.0,1.0,0.8,1.7,2.2
