Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Arizona,0.4,0.0,0.0,0.5,0.3,0.1
2,Detroit,0.4,0.3,1.0,0.7,0.0,0.2
3,Jacksonville,0.3,0.3,1.0,0.4,0.2,0.1
4,New Orleans,0.3,0.0,0.0,0.2,0.3,0.0
5,Pittsburgh,0.2,0.3,1.0,0.2,0.2,0.1
5,Kansas City,0.2,0.0,0.0,0.2,0.2,0.1
5,Cincinnati,0.2,0.0,0.0,0.3,0.1,0.1
5,Minnesota,0.2,0.0,0.0,0.2,0.2,0.1
9,Atlanta,0.2,0.0,0.0,0.0,0.3,0.1
9,Washington,0.2,0.0,0.0,0.2,0.2,0.1
11,Cleveland,0.1,0.0,0.0,0.2,0.0,0.2
11,Tampa Bay,0.1,0.0,0.0,0.2,0.0,0.1
11,LA Chargers,0.1,0.3,1.0,0.0,0.2,0.4
11,NY Giants,0.1,0.0,0.0,0.0,0.2,0.2
11,Baltimore,0.1,0.3,1.0,0.0,0.2,0.1
11,Philadelphia,0.1,0.0,0.0,0.0,0.2,0.3
17,Chicago,0.1,0.0,0.0,0.2,0.0,0.2
17,Carolina,0.1,0.0,0.0,0.0,0.2,0.2
17,Green Bay,0.1,0.3,0.0,0.2,0.0,0.1
17,Indianapolis,0.1,0.0,0.0,0.2,0.0,0.1
21,Dallas,0.0,0.0,0.0,0.0,0.0,0.3
21,Las Vegas,0.0,0.0,0.0,0.0,0.0,0.0
21,San Francisco,0.0,0.0,0.0,0.0,0.0,0.1
21,NY Jets,0.0,0.0,0.0,0.0,0.0,0.2
21,Miami,0.0,0.0,0.0,0.0,0.0,0.1
21,Tennessee,0.0,0.0,0.0,0.0,0.0,0.1
21,Houston,0.0,0.0,0.0,0.0,0.0,0.1
21,New England,0.0,0.0,0.0,0.0,0.0,0.2
21,Denver,0.0,0.0,0.0,0.0,0.0,0.1
21,Buffalo,0.0,0.0,0.0,0.0,0.0,0.2
21,LA Rams,0.0,0.0,0.0,0.0,0.0,0.1
21,Seattle,0.0,0.0,0.0,0.0,0.0,0.1
