Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Kansas City,6.5,7.2,6.1,6.1,6.9,6.1
2,Miami,6.3,6.3,4.7,5.9,6.7,4.8
3,Buffalo,6.2,5.4,4.9,7.4,5.6,5.9
4,Seattle,6.0,5.9,5.9,5.2,6.7,5.8
5,Las Vegas,5.9,6.4,7.5,5.6,6.0,5.7
6,San Francisco,5.9,5.6,4.7,5.6,6.1,6.0
7,Philadelphia,5.8,5.8,6.3,5.9,5.6,5.7
8,Detroit,5.8,5.2,4.9,6.2,5.3,5.2
9,New Orleans,5.7,5.0,4.9,5.5,6.0,4.9
10,Baltimore,5.7,5.2,6.1,5.4,6.0,5.4
11,Jacksonville,5.6,5.5,5.4,5.8,5.5,5.0
12,Dallas,5.6,6.0,6.2,5.6,5.6,5.9
13,Green Bay,5.6,6.1,7.0,5.6,5.6,5.8
14,Cincinnati,5.6,6.1,5.7,6.1,5.2,5.7
15,Cleveland,5.6,5.2,4.9,5.7,5.4,5.5
16,Atlanta,5.5,5.4,6.0,5.6,5.3,5.1
17,New England,5.4,5.7,4.7,5.3,5.4,5.7
18,Chicago,5.3,5.5,5.2,5.5,5.2,4.9
19,Minnesota,5.3,5.1,5.4,5.4,5.1,5.7
20,NY Jets,5.3,5.1,7.5,5.6,4.8,5.0
21,Tennessee,5.3,5.9,6.1,5.6,4.9,5.2
22,LA Chargers,5.2,4.9,4.9,4.9,5.5,5.9
23,Carolina,5.2,4.8,5.4,5.2,5.1,4.6
24,NY Giants,5.1,5.5,5.1,4.9,5.5,4.7
25,Tampa Bay,5.1,4.9,4.9,5.2,4.9,5.9
26,Denver,5.0,4.6,4.3,4.8,5.3,5.4
27,Indianapolis,4.9,5.4,4.7,5.1,4.7,5.6
28,Arizona,4.9,4.9,5.7,4.9,4.8,5.5
29,Washington,4.9,4.8,5.2,5.0,4.8,5.1
30,Houston,4.8,4.3,3.6,4.4,5.1,4.7
31,Pittsburgh,4.8,4.9,4.8,4.7,4.8,4.8
32,LA Rams,4.6,4.5,3.6,4.7,4.6,5.9
