Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Dallas,4.3,3.0,-0.4,4.8,3.7,3.3
2,Buffalo,3.6,3.2,9.4,10.4,0.4,2.7
3,Tennessee,3.1,2.7,-2.8,4.4,2.5,1.8
4,Minnesota,2.4,-0.7,4.9,1.5,3.6,0.8
5,San Francisco,2.1,16.3,--,2.8,1.5,0.1
6,Baltimore,2.0,2.2,-3.5,1.6,2.3,-0.9
7,Seattle,1.8,2.0,3.5,4.9,0.0,3.7
8,Atlanta,1.8,-2.7,-9.0,3.2,0.0,-3.0
9,NY Jets,1.7,8.2,14.2,-1.6,6.5,-3.4
10,Philadelphia,1.6,-2.0,-2.1,1.1,2.2,0.2
11,Cincinnati,1.5,1.2,2.8,-0.2,2.4,2.6
12,New England,1.2,-7.0,-9.4,1.0,1.4,3.3
13,Jacksonville,1.0,1.9,3.5,0.7,1.6,-7.4
14,Kansas City,0.7,-0.7,3.0,-0.4,1.5,2.5
15,NY Giants,0.6,-2.2,0.4,1.6,-0.3,-4.4
16,Carolina,0.5,4.8,9.4,3.7,-3.2,-3.8
17,Detroit,0.2,4.9,1.3,2.2,-3.7,-3.0
18,Las Vegas,-0.3,-1.0,-3.5,3.2,-2.8,-3.7
19,Miami,-0.3,2.0,2.7,4.8,-3.1,0.1
20,LA Chargers,-0.8,2.8,2.8,-2.7,0.8,-0.7
21,Washington,-1.0,3.6,9.0,-1.9,-0.1,-2.4
22,Houston,-1.3,-4.5,-2.7,0.7,-3.1,-2.4
23,Tampa Bay,-1.6,-3.3,-3.2,-2.2,-0.7,2.7
24,Chicago,-1.7,-3.4,-14.2,-1.0,-2.0,-3.6
25,Arizona,-1.9,-4.1,-2.8,-0.5,-3.5,0.7
26,Pittsburgh,-2.3,-0.4,3.6,0.5,-5.5,-0.4
27,Cleveland,-2.4,-3.3,3.2,-0.5,-4.7,-2.3
28,New Orleans,-2.7,-1.3,--,-0.7,-5.2,1.9
29,Green Bay,-3.1,1.3,2.1,-2.4,-3.8,1.0
30,LA Rams,-3.2,-3.6,-3.0,-4.4,-1.7,1.8
31,Indianapolis,-4.9,-1.5,-3.6,-0.9,-11.7,2.9
32,Denver,-5.0,-7.3,-9.4,-5.4,-4.4,0.4
