Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Seattle,13.4,13.3,10.9,13.5,13.3,13.9
2,Philadelphia,13.9,13.8,12.5,13.3,14.7,14.1
3,Atlanta,13.9,16.4,25.5,12.9,15.3,16.5
4,Dallas,13.9,13.6,15.4,13.8,14.0,13.2
5,Cincinnati,14.2,12.6,18.7,14.5,13.9,13.5
6,Baltimore,14.2,15.6,15.4,14.7,14.0,16.6
7,Minnesota,14.3,14.8,10.8,14.1,14.5,14.5
8,Kansas City,14.5,17.0,16.8,16.6,12.7,13.9
9,Detroit,14.5,11.2,13.0,12.6,18.3,16.9
10,Buffalo,14.8,13.4,14.8,13.4,15.8,13.1
11,Miami,15.1,11.6,11.3,15.3,14.8,15.3
12,Las Vegas,15.1,15.8,14.4,12.5,17.0,16.7
13,LA Chargers,15.2,13.4,12.4,16.1,14.6,14.0
14,Carolina,15.2,17.4,15.2,14.4,16.5,16.7
15,Arizona,15.2,16.0,15.3,14.3,16.2,14.2
16,New England,15.4,20.6,24.2,15.8,15.0,13.2
17,Chicago,15.5,15.4,29.2,15.6,15.3,16.8
18,NY Jets,15.6,16.3,15.0,17.0,13.8,16.8
19,Tennessee,15.7,17.7,21.5,16.9,14.7,14.2
20,Cleveland,15.8,16.8,16.0,15.0,16.9,16.6
21,San Francisco,15.8,14.9,24.4,17.0,15.0,15.0
22,NY Giants,16.2,17.4,15.0,16.1,16.3,18.9
23,Jacksonville,16.2,14.6,11.9,19.0,14.2,20.5
24,Washington,16.7,13.4,16.5,17.5,16.1,16.4
25,New Orleans,16.7,20.8,--,14.9,19.0,14.2
26,LA Rams,17.3,16.8,19.8,16.4,18.6,13.8
27,Green Bay,17.6,12.7,10.4,16.3,18.8,14.1
28,Houston,17.6,18.2,14.0,15.5,19.5,16.9
29,Pittsburgh,17.8,14.2,13.5,14.8,21.2,15.4
30,Tampa Bay,18.7,19.8,19.1,17.2,20.2,13.4
31,Indianapolis,20.1,17.1,17.1,16.3,26.7,13.1
32,Denver,22.4,24.4,24.6,26.7,19.6,16.8
