Rank,Team,2021,Last 3,Last 1,Home,Away,2020,Year,Stat
1,Buffalo,11.5,13.7,-6.0,11.8,11.1,6.8,2022,average-scoring-margin
2,Dallas,9.2,5.3,-6.0,12.0,6.4,-4.9,2022,average-scoring-margin
3,Tampa Bay,9.0,12.3,-3.0,14.2,3.2,9.1,2022,average-scoring-margin
4,New England,7.2,0.3,-30.0,11.8,2.6,-1.7,2022,average-scoring-margin
5,Kansas City,7.0,8.0,-3.0,8.4,4.9,5.7,2022,average-scoring-margin
6,LA Rams,5.7,3.0,3.0,6.9,4.4,4.0,2022,average-scoring-margin
7,Indianapolis,5.1,-4.0,-15.0,3.4,6.9,5.1,2022,average-scoring-margin
8,Cincinnati,4.5,1.0,-3.0,1.7,7.0,-7.1,2022,average-scoring-margin
9,Green Bay,4.2,5.7,-3.0,12.0,-3.6,8.3,2022,average-scoring-margin
10,Tennessee,3.4,10.3,-3.0,5.5,0.9,2.6,2022,average-scoring-margin
11,San Francisco,3.4,2.0,-3.0,3.5,3.3,-0.9,2022,average-scoring-margin
12,Arizona,3.3,-9.3,-23.0,-1.8,7.4,2.7,2022,average-scoring-margin
13,Philadelphia,2.4,-12.3,-16.0,-0.9,5.0,-5.3,2022,average-scoring-margin
14,New Orleans,1.7,0.3,10.0,-6.1,7.2,8.2,2022,average-scoring-margin
14,Seattle,1.7,9.7,8.0,3.4,0.2,4.6,2022,average-scoring-margin
16,LA Chargers,0.9,2.0,-3.0,4.6,-3.3,-2.6,2022,average-scoring-margin
17,Denver,0.8,-9.7,-4.0,2.7,-1.4,-7.7,2022,average-scoring-margin
18,Minnesota,-0.1,-6.7,14.0,2.8,-2.6,-2.8,2022,average-scoring-margin
19,Baltimore,-0.3,-8.0,-3.0,1.7,-2.5,8.8,2022,average-scoring-margin
20,Cleveland,-1.3,-3.0,5.0,1.4,-4.4,-0.3,2022,average-scoring-margin
21,Miami,-1.9,-1.7,9.0,2.6,-6.9,4.1,2022,average-scoring-margin
22,Las Vegas,-4.0,-0.3,-7.0,-3.6,-4.4,-2.8,2022,average-scoring-margin
23,Pittsburgh,-4.2,-2.0,-21.0,1.0,-9.4,5.5,2022,average-scoring-margin
24,Chicago,-5.6,4.3,-14.0,-0.5,-10.2,-0.6,2022,average-scoring-margin
25,Washington,-5.8,-10.3,15.0,-3.9,-7.6,-0.1,2022,average-scoring-margin
26,Carolina,-5.9,-19.3,-24.0,-5.4,-6.3,-3.3,2022,average-scoring-margin
27,Detroit,-8.4,-6.3,7.0,-5.8,-10.7,-8.9,2022,average-scoring-margin
28,Atlanta,-8.6,-6.7,-10.0,-11.4,-6.6,-1.1,2022,average-scoring-margin
29,NY Giants,-9.3,-21.7,-15.0,-4.9,-13.2,-4.8,2022,average-scoring-margin
30,Houston,-10.1,-2.3,-3.0,-7.4,-13.1,-5.0,2022,average-scoring-margin
31,NY Jets,-11.4,-5.3,-17.0,-9.2,-13.9,-13.4,2022,average-scoring-margin
32,Jacksonville,-12.0,-10.0,15.0,-7.9,-15.7,-11.6,2022,average-scoring-margin
